Zona;Provincia;Canton;Distrito;Circuito;fecha infraccion;dia;mes;anio;Hora Infracción;hora;minutos;segundos;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad
ZONA 5;GUAYAS;SIMON_BOLIVAR;JUJAN SIMON BOLIVAR;SIMON BOLIVAR;2/6/2014;2;6;2014;20:00;20;0;0;Homicidios;41;MASCULINO;UNION LIBRE;ECUADOR
ZONA 5;GUAYAS;EL_TRIUNFO;EL TRIUNFO BUCAY;EL TRIUNFO CENTRO;3/6/2014;3;6;2014;21:30;21;30;0;Asesinatos;39;MASCULINO;UNION LIBRE;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;VENEZUELA;4/6/2014;4;6;2014;21:30;21;30;0;Asesinatos;35;MASCULINO;DIVORCIADO;ECUADOR
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO OESTE;VALLE HERMOSO;3/6/2014;3;6;2014;11:30;11;30;0;Asesinatos;51;MASCULINO;CASADO;ECUADOR
ZONA 6;AZUAY;CAMILO_PONCE_ENRIQUEZ;PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;4/6/2014;4;6;2014;17:20;17;20;0;Asesinatos;15;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;BABAHOYO;BABAHOYO;PIMOCHA;5/6/2014;5;6;2014;19:45;19;45;0;Asesinatos;21;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;ESTEROS;6/6/2014;6;6;2014;4:00;4;0;0;Femicidios;28;FEMENINO;CASADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;TRINITARIA NORTE;6/6/2014;6;6;2014;23:30;23;30;0;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;MAPASINGUE;7/6/2014;7;6;2014;0:15;0;15;0;Asesinatos;29;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;QUININDE;QUININDE;ROSA ZARATE;7/6/2014;7;6;2014;21:00;21;0;0;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR
